Ticker,Genesis Year,Origin: Meme?,Rebrand History,Known Dead/Scam/None
TRUMP,2024,Yes,None,None
ONG,2018,No,Ontology Gas Utility,None
ANIME,2024,Yes,None,None
VANRY,2020,No,TVK to VANRY (2023),None
S,2018,No,FTM to S (2025),None
EDU,2023,No,Open Campus Protocol,None
ALCX,2021,No,Alchemix Finance,None
WBTC,2019,No,Wrapped Bitcoin,None
YB,2024,Yes,None,None
VELODROME,2022,No,Optimism Ecosystem DEX,None
FRAX,2020,No,Fractional-Algorithmic Stable,None
RIF,2018,No,RSK Infrastructure Framework,None
AR,2018,No,Arweave (Permanent Storage),None
2Z,2025,No,None,None
COOKIE,2024,Yes,Cookie3 Meme/Utility,None
PLUME,2024,No,Plume Network (RWA L2),None
HFT,2022,No,Hashflow,None
CFG,2020,No,Centrifuge,None
SYRUP,2025,No,Maple Finance Governance,None
ETH,2015,No,Ethereum,None
BTTC,2019,No,BitTorrent Chain (BTT),None
NIGHT,2025,No,Night.Finance,None
ETC,2016,No,Ethereum Classic,None
NOM,2022,No,Onomy Protocol,None
ZRX,2017,No,0x Protocol,None
CELO,2020,No,Rebranding to L2 (2024),None
JASMY,2021,No,JasmyCoin (IoT),None
ACX,2022,No,Across Protocol,None
KERNEL,2024,No,Kernel Protocol,None
HOLO,2018,No,Holochain (HOT),None
BANK,2021,No,Bankless DAO,None
RUNE,2019,No,THORChain,None
ZBT,2021,No,None,None
EPIC,2019,No,Epic Cash,None
ICX,2017,No,ICON,None
CELR,2019,No,Celer Network,None
VANA,2024,No,Vana Data L1,None
HEMI,2024,No,Hemi Network,None
BIGTIME,2023,No,Big Time Studios (GameFi),None
AEVO,2024,No,Ribbon Finance (RBN) Pivot,None
SCRT,2020,No,Enigma (ENG) to SCRT,None
CRV,2020,No,Curve Finance,None
ZAMA,2025,No,Zama (FHE Tech),None
LAYER,2024,No,Layer3,None
BTC,2009,No,Bitcoin,None
CTSI,2020,No,Cartesi,None
AI,2024,No,Sleepless AI,None
SAND,2020,No,The Sandbox,None
KAITO,2025,No,Kaito AI Search,None
ALGO,2019,No,Algorand,None
STG,2022,No,Stargate Finance,None
BAT,2017,No,Basic Attention Token,None
GLM,2016,No,Golem (GNT to GLM),None
BNT,2017,No,Bancor,None
MLN,2017,No,Melon to Enzyme,None
ADX,2017,No,AdEx,None
MUBARAK,2024,Yes,Political Meme,None
METIS,2021,No,Metis L2,None
1MBABYDOGE,2021,Yes,Baby Doge Coin,None
TKO,2021,No,Tokocrypto,None
RENDER,2017,No,RNDR to RENDER (Solana),None
1000SATS,2023,No,BRC-20 Inscription,None
SOL,2020,No,Solana,None
VIC,2018,No,TomoChain (TOMO) to VIC,None
0G,2024,No,0G Labs (Modular AI),None
COS,2019,No,Contentos,None
REZ,2024,No,Renzo Protocol,None
BANANAS31,2025,Yes,Meme/Game,None
FLUX,2018,No,ZelCash (ZEL) to Flux,None
STRK,2024,No,Starknet,None
OPN,2025,No,Opinion Protocol,None
POL,2017,No,Matic to Polygon to POL,None
WIN,2019,No,WINkLink,None
MBOX,2021,No,MOBOX,None
SAHARA,2024,No,Sahara AI,None
EURI,2024,No,EUR Stablecoin,None
DODO,2020,No,DODO DEX,None
ATOM,2019,No,Cosmos Hub,None
LQTY,2021,No,Liquity,None
QKC,2018,No,QuarkChain,None
RED,2025,No,RedStone Oracles,None
OGN,2020,No,Origin Protocol,None
KAT,2025,Yes,Eager Cat Meme,None
QTUM,2017,No,Qtum,None
APE,2022,No,ApeCoin,None
ONDO,2024,No,Ondo Finance (RWA),None
ZK,2024,No,Polyhedra/zkSync Era,None
FARM,2020,No,Harvest Finance,None
SENT,2017,No,Sentinel,None
STX,2019,No,Stacks,None
UMA,2020,No,Universal Market Access,None
PORTO,2021,No,FC Porto Fan Token,None
FET,2019,No,Fetch.ai (ASI Merger 2024),None
ZEC,2016,No,Zcash,None
BMT,2023,No,BitMEX Token,None
HUMA,2024,No,Huma Finance (PayFi),None
AMP,2020,No,Flexa (FXC to AMP),None
AGLD,2021,No,Adventure Gold,None
IOTA,2016,No,IOTA,None
CVC,2017,No,Civic,None
BICO,2021,No,Biconomy,None
NEWT,2024,No,Newt Protocol,None
JUP,2024,No,Jupiter Exchange (Solana),None
CTK,2020,No,CertiK to Shentu,None
TURTLE,2024,Yes,Meme Token,None
ENJ,2017,No,Enjin Coin,None
LUNA,2019,No,LUNA to LUNC (Classic),Dead/Collapsed
WAXP,2017,No,WAX,None
TON,2018,No,Telegram Open Network,None
PORTAL,2024,No,Portal Gaming,None
FOGO,2025,Yes,Meme Token,None
YFI,2020,No,Yearn Finance,None
TOWNS,2024,No,Towns Social,None
ENA,2024,No,Ethena Labs,None
MBL,2019,No,MovieBloc,None
KNC,2017,No,Kyber Network,None
AUCTION,2020,No,Bounce Finance,None
MANA,2017,No,Decentraland,None
WIF,2023,Yes,Dogwifhat,None
SAGA,2024,No,Saga Protocol,None
WCT,2024,No,WalletConnect Token,None
ZIL,2018,No,Zilliqa,None
LINK,2017,No,Chainlink,None
DOT,2020,No,Polkadot,None
ME,2024,No,Magic Eden Token,None
KGST,2023,No,None,None
DASH,2014,No,XCoin to Dash,None
CETUS,2023,No,Cetus Protocol (Sui),None
RLUSD,2025,No,Ripple USD Stablecoin,None
ARK,2017,No,Ark,None
ENS,2021,No,Ethereum Name Service,None
NMR,2017,No,Numeraire,None
BFUSD,2025,No,Binance Futures USD,None
FORM,2021,No,Formation FI,None
MAGIC,2021,No,Treasure DAO,None
ASTR,2022,No,Astar Network,None
VTHO,2018,No,VeThor Token,None
DOGE,2013,Yes,Dogecoin,None
CKB,2019,No,Nervos Network,None
MMT,2024,No,MyMetaTrader,None
OSMO,2021,No,Osmosis,None
MORPHO,2024,No,Morpho Blue,None
AXS,2020,No,Axie Infinity,None
1INCH,2020,No,1inch Network,None
XEC,2017,No,BCHA to XEC (eCash),None
JTO,2023,No,Jito (Solana),None
NEIRO,2024,Yes,First Neiro on Ethereum,None
GNO,2017,No,Gnosis,None
HIVE,2020,No,Steem Fork to Hive,None
QNT,2018,No,Quant,None
ALICE,2021,No,My Neighbor Alice,None
BERA,2024,No,Berachain,None
BEAMX,2021,No,Merit Circle (MC) to BEAM,None
ROBO,2025,No,CryptoRobotics,None
XAI,2024,No,Xai Games L3,None
RAD,2021,No,Radicle,None
MINA,2021,No,Mina Protocol,None
TAO,2021,No,Bittensor,None
G,2022,No,Galxe (GAL) to Gravity (G),None
NIL,2024,No,=nil; Foundation,None
AUDIO,2020,No,Audius,None
WBETH,2023,No,Wrapped Beacon ETH,None
API3,2020,No,API3 Oracles,None
BLUR,2023,No,Blur NFT Marketplace,None
SKY,2017,No,Maker (MKR) to Sky (SKY),None
KITE,2024,No,Kite AI,None
PHA,2020,No,Phala Network,None
JST,2020,No,JUST (Tron),None
IOTX,2018,No,IoTeX,None
ANKR,2019,No,Ankr,None
RAY,2021,No,Raydium,None
MITO,2024,No,Mito Finance,None
WLD,2023,No,Worldcoin,None
TUT,2021,No,Tutellus,None
ZRO,2024,No,LayerZero,None
GALA,2020,No,Gala Games,None
IO,2024,No,io.net (DePIN),None
BAR,2020,No,FC Barcelona Fan Token,None
PEOPLE,2021,Yes,ConstitutionDAO,None
FLOKI,2021,Yes,Floki Inu,None
EGLD,2017,No,Elrond (ERD) to EGLD,None
FLOW,2020,No,Flow Blockchain,None
NOT,2024,Yes,Notcoin (TON),None
SUSHI,2020,No,SushiSwap,None
ONT,2018,No,Ontology,None
STO,2018,No,Polymath (POLY) to STO,None
SAPIEN,2018,No,Sapien Network,None
LDO,2020,No,Lido DAO,None
SXT,2024,No,Space and Time (SXT),None
DOGS,2024,Yes,Telegram Dogs Meme,None
EIGEN,2024,No,EigenLayer,None
USUAL,2024,No,Usual Money,None
MANTRA,2020,No,MANTRA (OM),None
BREV,2024,No,Brevis ZK,None
ADA,2017,No,Cardano,None
MEME,2023,Yes,Memeland Token,None
T,2022,No,Threshold Network,None
SLP,2020,No,Smooth Love Potion,None
FIL,2020,No,Filecoin,None
KAIA,2019,No,Klaytn (KLAY) to Kaia,None
MOVR,2021,No,Moonriver,None
SC,2015,No,Siacoin,None
EDEN,2021,No,Eden Network,None
RVN,2018,No,Ravencoin,None
SIGN,2024,No,Sign Protocol,None
HIGH,2021,No,Highstreet,None
XVG,2014,No,DogeCoinDark to Verge,None
C98,2021,No,Coin98,None
MET,2018,No,Metronome,None
CHR,2019,No,Chromia,None
GUN,2024,No,Gunzilla Games (GUN),None
LPT,2018,No,Livepeer,None
HMSTR,2024,Yes,Hamster Kombat,None
PUMP,2024,Yes,Meme Token,None
OP,2022,No,Optimism,None
W,2024,No,Wormhole,None
MASK,2021,No,Mask Network,None
1000CHEEMS,2021,Yes,Cheems Meme,None
GIGGLE,2025,Yes,Giggle Cat Meme,None
F,2024,Yes,F Token Meme,None
SYS,2014,No,Syscoin,None
TNSR,2024,No,Tensor (Solana NFT),None
NEXO,2018,No,Nexo,None
BOME,2024,Yes,BOOK OF MEME,None
OPEN,2025,No,Open Protocol,None
POND,2020,No,Marlin,None
GMX,2021,No,GMX Exchange,None
PNUT,2024,Yes,Peanut the Squirrel,None
MOVE,2024,No,Movement Labs,None
SNX,2018,No,Havven to Synthetix,None
RLC,2017,No,iExec RLC,None
SKL,2020,No,SKALE Network,None
ILV,2021,No,Illuvium,None
SUI,2023,No,Sui Network,None
OG,2020,No,OG Fan Token,None
STORJ,2017,No,Storj,None
MTL,2017,No,Metal DAO,None
SOLV,2024,No,Solv Protocol,None
SPK,2025,No,Spark Protocol,None
SCR,2024,No,Scroll L2,None
PSG,2020,No,PSG Fan Token,None
RPL,2021,No,Rocket Pool,None
ATM,2020,No,Atletico Madrid Token,None
PENDLE,2021,No,Pendle Finance,None
D,2024,No,Denari Token,None
DCR,2016,No,Decred,None
ENSO,2024,No,Enso Finance,None
RESOLV,2024,No,Resolv Stablecoin,None
KMNO,2024,No,Kamino Finance,None
PYTH,2023,No,Pyth Network,None
AAVE,2017,No,ETHLend to AAVE,None
1000CAT,2024,Yes,Cat Meme,None
BB,2024,No,BounceBit,None
FF,2025,No,Future Finance,None
PENGU,2024,Yes,Pudgy Penguins,None
ALLO,2024,No,Allo Protocol,None
COTI,2019,No,COTI Network,None
NXPC,2025,No,Next Play Coin,None
TIA,2023,No,Celestia,None
SUN,2020,No,SUN.io,None
ASTER,2021,No,APX to ASTER (2025),None
APT,2022,No,Aptos,None
NEAR,2020,No,Near Protocol,None
